TeamID,Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
140e320a,2018-2019,vs Charleroi,32,25.9,54.2,40,330.0,2700.0,30.0,41.0,23.0,64.0,38.0,3.0,4.0,82.0,2.0,35.9,32.7,25.0,57.7,482.0,1246.0
f1e6c5f1,2018-2019,vs Club Brugge,28,25.8,42.8,40,440.0,3600.0,40.0,40.0,27.0,67.0,35.0,5.0,5.0,96.0,6.0,45.4,41.7,34.4,76.0,583.0,1363.0
5809ddc3,2018-2019,vs Eupen,27,26.1,52.9,40,330.0,2700.0,30.0,56.0,38.0,94.0,51.0,5.0,5.0,56.0,2.0,43.4,39.5,32.3,71.8,530.0,1390.0
f780fd06,2018-2019,vs Excel Mouscron,32,25.9,50.4,40,330.0,2700.0,30.0,31.0,19.0,50.0,27.0,4.0,6.0,53.0,2.0,42.2,37.4,29.9,67.3,461.0,1267.0
1e972a99,2018-2019,vs Genk,27,26.0,44.0,40,440.0,3600.0,40.0,38.0,26.0,64.0,35.0,3.0,4.0,119.0,4.0,43.1,40.0,30.8,70.8,599.0,1407.0
51e5a603,2018-2019,vs Gent,32,25.8,44.2,40,440.0,3600.0,40.0,59.0,41.0,100.0,55.0,4.0,4.0,98.0,7.0,58.1,55.2,45.4,100.6,753.0,1550.0
77193015,2018-2019,vs Kortrijk,23,25.5,48.8,40,330.0,2700.0,30.0,42.0,23.0,65.0,35.0,7.0,10.0,42.0,1.0,41.8,34.1,26.4,60.5,529.0,1232.0
bada91db,2018-2019,vs Lokeren,31,25.7,52.8,30,330.0,2700.0,30.0,53.0,38.0,91.0,49.0,4.0,4.0,41.0,0.0,52.4,49.3,40.2,89.5,589.0,1479.0
95b895fe,2018-2019,vs Oostende,27,25.9,57.7,40,330.0,2700.0,30.0,51.0,35.0,86.0,43.0,8.0,9.0,63.0,5.0,51.9,44.9,38.3,83.3,620.0,1446.0
80328a1e,2018-2019,vs Sint-Truiden,27,25.6,50.7,40,330.0,2700.0,30.0,35.0,21.0,56.0,31.0,4.0,4.0,69.0,5.0,46.8,43.6,34.3,77.9,662.0,1361.0
33c6b26e,2018-2019,vs Standard Liège,26,25.8,47.4,40,440.0,3600.0,40.0,48.0,33.0,81.0,46.0,2.0,3.0,95.0,6.0,54.4,52.0,41.5,93.5,659.0,1492.0
0217e4d8,2018-2019,vs Waas-Beveren,31,26.0,57.9,40,330.0,2700.0,30.0,48.0,35.0,83.0,42.0,6.0,10.0,57.0,6.0,56.1,48.2,37.5,85.7,723.0,1619.0
ecd34b98,2018-2019,vs Zulte Waregem,26,25.7,53.4,40,330.0,2700.0,30.0,58.0,43.0,101.0,53.0,5.0,7.0,66.0,2.0,46.8,41.3,33.7,75.1,593.0,1354.0
08ad393c,2019-2020,vs Anderlecht,34,25.8,43.0,29,319.0,2610.0,29.0,29.0,15.0,44.0,27.0,2.0,3.0,61.0,2.0,38.1,36.0,27.7,63.7,448.0,1035.0
c2e6b53b,2019-2020,vs Antwerp,26,25.7,52.0,29,319.0,2610.0,29.0,31.0,21.0,52.0,29.0,2.0,4.0,57.0,3.0,33.7,30.6,25.3,55.9,508.0,1172.0
